brtcCode,signguCode,brtcName,signguName
41,194,경기도,부천시 소사구
41,196,경기도,부천시 오정구
41,210,경기도,광명시
41,220,경기도,평택시
41,250,경기도,동두천시
41,271,경기도,안산시 상록구
41,273,경기도,안산시 단원구
41,281,경기도,고양시 덕양구
41,285,경기도,고양시 일산동구
41,287,경기도,고양시 일산서구
41,290,경기도,과천시
41,310,경기도,구리시
41,360,경기도,남양주시
41,370,경기도,오산시
41,390,경기도,시흥시
41,410,경기도,군포시
41,430,경기도,의왕시
41,450,경기도,하남시
41,461,경기도,용인시 처인구
41,463,경기도,용인시 기흥구
41,465,경기도,용인시 수지구
41,480,경기도,파주시
41,500,경기도,이천시
41,550,경기도,안성시
41,570,경기도,김포시
41,591,경기도,화성시 만세구
41,593,경기도,화성시 효행구
41,595,경기도,화성시 병점구
41,597,경기도,화성시 동탄구
41,610,경기도,광주시
41,630,경기도,양주시
41,650,경기도,포천시
41,670,경기도,여주시
41,800,경기도,연천군
41,820,경기도,가평군
41,830,경기도,양평군
43,111,충청북도,청주시 상당구
43,112,충청북도,청주시 서원구
43,113,충청북도,청주시 흥덕구
43,114,충청북도,청주시 청원구
43,130,충청북도,충주시
43,150,충청북도,제천시
43,720,충청북도,보은군
43,730,충청북도,옥천군
43,740,충청북도,영동군
43,745,충청북도,증평군
43,750,충청북도,진천군
43,760,충청북도,괴산군
43,770,충청북도,음성군
43,800,충청북도,단양군
44,131,충청남도,천안시 동남구
44,133,충청남도,천안시 서북구
44,150,충청남도,공주시
44,180,충청남도,보령시
44,200,충청남도,아산시
44,210,충청남도,서산시
44,230,충청남도,논산시
44,250,충청남도,계룡시
44,270,충청남도,당진시
44,710,충청남도,금산군
44,760,충청남도,부여군
44,770,충청남도,서천군
44,790,충청남도,청양군
44,800,충청남도,홍성군
44,810,충청남도,예산군
44,825,충청남도,태안군
47,111,경상북도,포항시 남구
47,113,경상북도,포항시 북구
47,130,경상북도,경주시
47,150,경상북도,김천시
47,170,경상북도,안동시
47,190,경상북도,구미시
47,210,경상북도,영주시
47,230,경상북도,영천시
47,250,경상북도,상주시
47,280,경상북도,문경시
47,290,경상북도,경산시
47,730,경상북도,의성군
47,750,경상북도,청송군
47,760,경상북도,영양군
47,770,경상북도,영덕군
47,820,경상북도,청도군
47,830,경상북도,고령군
47,840,경상북도,성주군
47,850,경상북도,칠곡군
47,900,경상북도,예천군
47,920,경상북도,봉화군
47,930,경상북도,울진군
47,940,경상북도,울릉군
48,121,경상남도,창원시 의창구
48,123,경상남도,창원시 성산구
48,125,경상남도,창원시 마산합포구
48,127,경상남도,창원시 마산회원구
48,129,경상남도,창원시 진해구
48,170,경상남도,진주시
48,220,경상남도,통영시
48,240,경상남도,사천시
48,250,경상남도,김해시
48,270,경상남도,밀양시
48,310,경상남도,거제시
48,330,경상남도,양산시
48,720,경상남도,의령군
48,730,경상남도,함안군
48,740,경상남도,창녕군
48,820,경상남도,고성군
48,840,경상남도,남해군
48,850,경상남도,하동군
48,860,경상남도,산청군
48,870,경상남도,함양군
48,880,경상남도,거창군
48,890,경상남도,합천군
50,110,제주특별자치도,제주시
50,130,제주특별자치도,서귀포시
51,110,강원특별자치도,춘천시
51,130,강원특별자치도,원주시
51,150,강원특별자치도,강릉시
51,170,강원특별자치도,동해시
51,190,강원특별자치도,태백시
51,210,강원특별자치도,속초시
51,230,강원특별자치도,삼척시
51,720,강원특별자치도,홍천군
51,730,강원특별자치도,횡성군
51,750,강원특별자치도,영월군
51,760,강원특별자치도,평창군
51,770,강원특별자치도,정선군
51,780,강원특별자치도,철원군
51,790,강원특별자치도,화천군
51,800,강원특별자치도,양구군
51,810,강원특별자치도,인제군
51,820,강원특별자치도,고성군
51,830,강원특별자치도,양양군
52,111,전북특별자치도,전주시 완산구
52,113,전북특별자치도,전주시 덕진구
52,130,전북특별자치도,군산시
52,140,전북특별자치도,익산시
52,180,전북특별자치도,정읍시
52,190,전북특별자치도,남원시
52,210,전북특별자치도,김제시
52,710,전북특별자치도,완주군
52,720,전북특별자치도,진안군
52,730,전북특별자치도,무주군
52,740,전북특별자치도,장수군
52,750,전북특별자치도,임실군
52,770,전북특별자치도,순창군
52,790,전북특별자치도,고창군
52,800,전북특별자치도,부안군
